Evaluation Results
==================


NDCG@5 Results:
Mean: 0.2817
Per-query results:
  Query 1199639: 0.2324
  Query 1254390: 0.0000
  Query 1262692: 0.3549
  Query 1282199: 0.2229
  Query 1287437: 0.2030
  Query 1290612: 0.3290
  Query 1292734: 0.0351
  Query 1340574: 0.1826
  Query 1351675: 0.4789
  Query 1364894: 0.0918
  Query 1373069: 0.2310
  Query 143833: 0.2609
  Query 1459749: 0.0710
  Query 1477322: 0.1032
  Query 1502604: 0.4108
  Query 1509982: 0.1860
  Query 1582877: 0.1761
  Query 159716: 0.3304
  Query 1607728: 0.2368
  Query 1623623: 0.2405
  Query 1663853: 0.3424
  Query 1702151: 0.2091
  Query 172731: 0.0334
  Query 1783010: 1.0000
  Query 1794677: 0.4724
  Query 1821193: 0.1209
  Query 1844896: 0.2279
  Query 1850323: 0.0368
  Query 1862795: 0.3153
  Query 1866981: 0.0000
  Query 1880028: 0.1054
  Query 1937374: 0.1934
  Query 1944018: 0.0642
  Query 1957887: 0.2879
  Query 1964316: 0.3657
  Query 1968489: 0.3060
  Query 1971899: 0.3801
  Query 1977054: 0.2495
  Query 2008017: 0.1753
  Query 2018562: 0.2654
  Query 204633: 0.0837
  Query 204963: 0.2303
  Query 2142044: 0.6565
  Query 2180086: 1.0000
  Query 2182052: 0.0794
  Query 2192891: 0.2006
  Query 224109: 0.0000
  Query 225575: 0.5332
  Query 2290758: 0.3207
  Query 2291272: 0.0750
  Query 229303: 0.4274
  Query 2307305: 0.2191
  Query 2309774: 0.3376
  Query 23464: 0.1862
  Query 2380990: 0.2931
  Query 2382487: 0.2260
  Query 2418598: 0.4273
  Query 2443586: 0.4121
  Query 2446614: 0.0851
  Query 2452795: 0.3900
  Query 2479423: 0.1992
  Query 2484180: 0.3587
  Query 2528767: 0.1009
  Query 2529114: 0.4454
  Query 2539741: 0.2935
  Query 2551845: 0.3917
  Query 2582920: 0.4796
  Query 2592121: 0.2947
  Query 2619912: 0.1651
  Query 2634143: 0.2035
  Query 2643507: 0.0738
  Query 2713171: 0.1558
  Query 2722241: 0.1896
  Query 2783398: 0.1248
  Query 2785579: 0.0000
  Query 2795030: 0.1973
  Query 2797224: 0.1756
  Query 2799913: 0.3852
  Query 2814599: 0.1551
  Query 2814722: 0.4037
  Query 2815090: 0.2836
  Query 2838988: 0.2309
  Query 2847807: 0.4856
  Query 2862887: 0.3665
  Query 2864267: 0.1357
  Query 2892478: 0.0284
  Query 2956570: 0.1898
  Query 2976644: 0.3867
  Query 3040435: 0.0000
  Query 3074429: 0.1529
  Query 3078448: 0.1930
  Query 312215: 0.2694
  Query 3155314: 0.2862
  Query 3206998: 0.3596
  Query 3239329: 0.2782
  Query 3269759: 0.2854
  Query 3278654: 0.4078
  Query 3280768: 0.1407
  Query 3295055: 0.3533
  Query 3301173: 0.3164
  Query 3313308: 0.2574
  Query 3363149: 0.1466
  Query 3369088: 0.1342
  Query 3382736: 0.5442
